"Tabela 200 - População residente, por sexo, situação e grupos de idade - Amostra - Características Gerais da População"
"Variável - População residente (Pessoas)"
"";"Situação do domicílio";"Ano";"Grupo de idade";"Sexo";""
"Brasil";"Total";"1970";"0 a 4 anos";"Homens";"7022222"
"Brasil";"Total";"1970";"0 a 4 anos";"Mulheres";"6894012"
"Brasil";"Total";"1970";"5 a 9 anos";"Homens";"6748539"
"Brasil";"Total";"1970";"5 a 9 anos";"Mulheres";"6607954"
"Brasil";"Total";"1970";"10 a 14 anos";"Homens";"5922976"
"Brasil";"Total";"1970";"10 a 14 anos";"Mulheres";"5926119"
"Brasil";"Total";"1970";"15 a 19 anos";"Homens";"5013764"
"Brasil";"Total";"1970";"15 a 19 anos";"Mulheres";"5305903"
"Brasil";"Total";"1970";"20 a 24 anos";"Homens";"4089101"
"Brasil";"Total";"1970";"20 a 24 anos";"Mulheres";"4308933"
"Brasil";"Total";"1970";"25 a 29 anos";"Homens";"3138621"
"Brasil";"Total";"1970";"25 a 29 anos";"Mulheres";"3263720"
"Brasil";"Total";"1970";"30 a 34 anos";"Homens";"2814900"
"Brasil";"Total";"1970";"30 a 34 anos";"Mulheres";"2862102"
"Brasil";"Total";"1970";"35 a 39 anos";"Homens";"2481474"
"Brasil";"Total";"1970";"35 a 39 anos";"Mulheres";"2571274"
"Brasil";"Total";"1970";"40 a 44 anos";"Homens";"2265837"
"Brasil";"Total";"1970";"40 a 44 anos";"Mulheres";"2210102"
"Brasil";"Total";"1970";"45 a 49 anos";"Homens";"1787155"
"Brasil";"Total";"1970";"45 a 49 anos";"Mulheres";"1737386"
"Brasil";"Total";"1970";"50 a 54 anos";"Homens";"1483694"
"Brasil";"Total";"1970";"50 a 54 anos";"Mulheres";"1451283"
"Brasil";"Total";"1970";"55 a 59 anos";"Homens";"1169517"
"Brasil";"Total";"1970";"55 a 59 anos";"Mulheres";"1143170"
"Brasil";"Total";"1970";"60 a 64 anos";"Homens";"913836"
"Brasil";"Total";"1970";"60 a 64 anos";"Mulheres";"903013"
"Brasil";"Total";"1970";"65 a 69 anos";"Homens";"618249"
"Brasil";"Total";"1970";"65 a 69 anos";"Mulheres";"626039"
"Brasil";"Total";"1970";"70 a 74 anos";"Homens";"396058"
"Brasil";"Total";"1970";"70 a 74 anos";"Mulheres";"426081"
"Brasil";"Total";"1970";"75 a 79 anos";"Homens";"199181"
"Brasil";"Total";"1970";"75 a 79 anos";"Mulheres";"229863"
"Brasil";"Total";"1970";"80 anos ou mais";"Homens";"185375"
"Brasil";"Total";"1970";"80 anos ou mais";"Mulheres";"265875"
"Brasil";"Total";"1970";"80 a 84 anos";"Homens";"..."
"Brasil";"Total";"1970";"80 a 84 anos";"Mulheres";"..."
"Brasil";"Total";"1970";"85 a 89 anos";"Homens";"..."
"Brasil";"Total";"1970";"85 a 89 anos";"Mulheres";"..."
"Brasil";"Total";"1970";"90 a 94 anos";"Homens";"..."
"Brasil";"Total";"1970";"90 a 94 anos";"Mulheres";"..."
"Brasil";"Total";"1970";"95 a 99 anos";"Homens";"..."
"Brasil";"Total";"1970";"95 a 99 anos";"Mulheres";"..."
"Brasil";"Total";"1970";"100 anos ou mais";"Homens";"..."
"Brasil";"Total";"1970";"100 anos ou mais";"Mulheres";"..."
"Brasil";"Total";"1970";"Idade ignorada";"Homens";"76751"
"Brasil";"Total";"1970";"Idade ignorada";"Mulheres";"74767"
"Brasil";"Total";"1980";"0 a 4 anos";"Homens";"8310688"
"Brasil";"Total";"1980";"0 a 4 anos";"Mulheres";"8117375"
"Brasil";"Total";"1980";"5 a 9 anos";"Homens";"7477679"
"Brasil";"Total";"1980";"5 a 9 anos";"Mulheres";"7294114"
"Brasil";"Total";"1980";"10 a 14 anos";"Homens";"7156309"
"Brasil";"Total";"1980";"10 a 14 anos";"Mulheres";"7096212"
"Brasil";"Total";"1980";"15 a 19 anos";"Homens";"6705370"
"Brasil";"Total";"1980";"15 a 19 anos";"Mulheres";"6864066"
"Brasil";"Total";"1980";"20 a 24 anos";"Homens";"5677083"
"Brasil";"Total";"1980";"20 a 24 anos";"Mulheres";"5840244"
"Brasil";"Total";"1980";"25 a 29 anos";"Homens";"4647438"
